StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,group,label,password_communi_1,password_innovation_1
2024-01-20 15:43:49,2024-01-20 15:45:35,0,197.230.97.174,100,106,1,2024-01-20 15:45:36,R_5MaFaMjWmyDt3mw,,,,,34.0663,-6.817,anonymous,EN,1,2,F7,7,7
2024-01-20 15:43:17,2024-01-20 15:45:37,0,102.77.249.47,100,139,1,2024-01-20 15:45:37,R_2k5BozNdDeuIoh3,,,,,34.0072,-6.8407,anonymous,EN,1,1,M3,7,7
2024-01-20 15:43:42,2024-01-20 15:45:44,0,197.230.97.174,100,121,1,2024-01-20 15:45:44,R_6DTROFNI63WYnHd,,,,,34.0663,-6.817,anonymous,EN,1,3,M6,7,7
2024-01-20 15:44:02,2024-01-20 15:45:47,0,197.230.97.174,100,105,1,2024-01-20 15:45:48,R_5BqRe9gOr40IJLE,,,,,34.0663,-6.817,anonymous,EN,1,2,F6,7,7
2024-01-20 15:43:55,2024-01-20 15:45:54,0,197.230.97.174,100,118,1,2024-01-20 15:45:54,R_7tybA6dpMYhfvG8,,,,,34.0663,-6.817,anonymous,EN,1,2,,7,3
2024-01-20 15:44:10,2024-01-20 15:46:02,0,197.230.97.174,100,112,1,2024-01-20 15:46:03,R_6kdBqW9ocQrbauZ,,,,,34.0663,-6.817,anonymous,EN,1,3,M7,3,3
2024-01-20 15:45:09,2024-01-20 15:46:10,0,197.230.97.174,100,61,1,2024-01-20 15:46:11,R_4nNvTRlyQ2xR9Ei,,,,,34.0663,-6.817,anonymous,EN,1,,M5,7,6
2024-01-20 16:03:08,2024-01-20 16:03:41,0,197.230.97.174,100,32,1,2024-01-20 16:03:41,R_8ijSBCVHupwMU13,,,,,34.0663,-6.817,anonymous,EN,1,3,F8,7,6
2024-01-20 16:25:29,2024-01-20 16:26:49,0,197.230.97.174,100,79,1,2024-01-20 16:26:49,R_2cmbka1uWJn3X9L,,,,,34.0663,-6.817,anonymous,EN,1,2,F8,7,7
2024-01-20 16:27:47,2024-01-20 16:29:48,0,197.230.97.174,100,121,1,2024-01-20 16:29:49,R_1uaOyWNrsjXMakN,,,,,34.0663,-6.817,anonymous,EN,1,3,F8,6,7
2024-01-20 15:44:49,2024-01-20 15:45:52,0,197.230.97.174,60,62,0,2024-01-27 15:45:58,R_1Ys0Q6rBk5sqdzR,,,,,,,anonymous,EN,1,3,F3,,
